Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value,Standard Units,pChEMBL Value,R_squared,Hill_slope,IC50_CI_lower_uM,IC50_CI_upper_uM,Max_Response_Pct,Comment,Molecular Weight,AlogP,#RO5 Violations,Target Name
CHEMBL5442156,CCNC(=O)c1cc2c(N[C@@H](c3cnc(NC(C)=O)s3)C(C)C)ncnc2[nH]1,'=',4353.0,nM,5.36,0.994,1.38,3.884,4.879,100.0,,401.5,2.93,0,Replicase polyprotein 1ab
CHEMBL5441394,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',16.0,nM,7.8,0.997,1.611,0.016,0.017,100.0,,493.59,2.84,0,Replicase polyprotein 1ab
CHEMBL5441394,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',23.0,nM,7.64,0.981,1.328,0.02,0.027,100.0,,493.59,2.84,0,Replicase polyprotein 1ab
CHEMBL5441395,Cc1nn(C)cc1-c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,'=',11.0,nM,7.96,0.486,2.501,0.007,0.018,100.0,,464.6,4.2,0,Replicase polyprotein 1ab
CHEMBL5441426,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cncc(S(C)(=O)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',39.0,nM,7.41,0.96,1.34,0.032,0.049,100.0,,525.66,3.95,1,Replicase polyprotein 1ab
CHEMBL5441412,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',9145.0,nM,5.04,0.993,1.267,8.155,10.26,100.0,,450.57,3.89,0,Replicase polyprotein 1ab
CHEMBL5441431,CNC(=O)c1cccc(-c2cc3c(N[C@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)c1,'=',26.0,nM,7.58,0.99,1.828,0.024,0.028,100.0,,503.63,4.51,1,Replicase polyprotein 1ab
CHEMBL5441570,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(S(N)(=O)=O)c4nsnc34)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',242.0,nM,6.62,0.967,1.784,0.192,0.306,100.0,,583.72,3.81,1,Replicase polyprotein 1ab
CHEMBL5441689,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnc(N)nc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',106.0,nM,6.97,0.981,1.239,0.088,0.129,100.0,,463.57,3.53,0,Replicase polyprotein 1ab
CHEMBL5441776,CC(C)[C@@H](Nc1ncnc2[nH]c(C3=CCOC3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',82.0,nM,7.09,0.971,1.425,0.066,0.103,100.0,,438.55,3.9,0,Replicase polyprotein 1ab
CHEMBL5441776,CC(C)[C@@H](Nc1ncnc2[nH]c(C3=CCOC3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',244.0,nM,6.61,0.969,1.5,0.191,0.312,100.0,,438.55,3.9,0,Replicase polyprotein 1ab
CHEMBL5441829,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(S(C)(=O)=O)nc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',60.0,nM,7.22,0.957,1.6,0.047,0.076,100.0,,525.66,3.95,1,Replicase polyprotein 1ab
CHEMBL5442055,Cc1nnn(C)c1-c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,'=',419.0,nM,6.38,0.969,1.201,0.325,0.542,100.0,,465.58,3.59,0,Replicase polyprotein 1ab
